Nama,Brand,Rilis,Harga_Varian,RAM,Memori_Internal,Chipset,Kamera_Utama,Baterai,Charger,OS,URL
iPad Air 13 M2 (WiFi) (8GB/512GB),APPLE,2024,17499000,8,512,Apple M2,12 MP • Wide • f/1.8,10758,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-13-m2-wifi/
iPad Air 11 M2 (WiFi) (8GB/128GB),APPLE,2024,8499000,8,128,Apple M2,12 MP • Wide • f/1.8,7607,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-11-m2-wifi/
iPad Air 11 M2 (WiFi) (8GB/512GB),APPLE,2024,13999000,8,512,Apple M2,12 MP • Wide • f/1.8,7607,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-11-m2-wifi/
iPad Air 11 M2 (WiFi) (8GB/1024GB),APPLE,2024,17999000,8,1024,Apple M2,12 MP • Wide • f/1.8,7607,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-11-m2-wifi/
iPad 10.9 inch 2022 (WiFi) (4GB/64GB),APPLE,2022,4499000,4,64,Apple A14 Bionic,12 MP • Wide • f/1.8,7606,6,iPadOS 16,https://carisinyal.com/hp/apple-ipad-10-9-inch-2022-wifi/
iPad 10.9 inch 2022 (WiFi) (4GB/256GB),APPLE,2022,6999000,4,256,Apple A14 Bionic,12 MP • Wide • f/1.8,7606,6,iPadOS 16,https://carisinyal.com/hp/apple-ipad-10-9-inch-2022-wifi/
iPad 10.9 inch 2022 (WiFi + Cellular) (4GB/64GB),APPLE,2022,6999000,4,64,Apple A14 Bionic,12 MP • Wide • f/1.8,7606,6,iPadOS 16,https://carisinyal.com/hp/apple-ipad-2022/
iPad 10.9 inch 2022 (WiFi + Cellular) (4GB/256GB),APPLE,2022,9999000,4,256,Apple A14 Bionic,12 MP • Wide • f/1.8,7606,6,iPadOS 16,https://carisinyal.com/hp/apple-ipad-2022/
iPhone 14 (6GB/128GB),APPLE,2022,8749000,6,128,Apple A15 Bionic,12 MP • Wide • f/1.5 ; 12 MP • Ultrawide • f/2.4,3279,15,iOS 16,https://carisinyal.com/hp/apple-iphone-14/
iPhone 14 (6GB/256GB),APPLE,2022,10999000,6,256,Apple A15 Bionic,12 MP • Wide • f/1.5 ; 12 MP • Ultrawide • f/2.4,3279,15,iOS 16,https://carisinyal.com/hp/apple-iphone-14/
iPad 10.2 inch 2021 (WiFi) (3GB/64GB),APPLE,2021,3499000,3,64,Apple A13 Bionic,8 MP • Wide • f/2.4,8557,10,iPadOS 15 (Saat Rilis),https://carisinyal.com/hp/apple-ipad-10-2-inch-2021-wifi-cellular/
iPad 10.2 inch 2021 (WiFi) (3GB/256GB),APPLE,2021,5999000,3,256,Apple A13 Bionic,8 MP • Wide • f/2.4,8557,10,iPadOS 15 (Saat Rilis),https://carisinyal.com/hp/apple-ipad-10-2-inch-2021-wifi-cellular/
iPad 10.2 inch 2021 (WiFi + Cellular) (3GB/64GB),APPLE,2021,5999000,3,64,Apple A13 Bionic,8 MP • Wide • f/2.4,8557,10,iPadOS 15 (Saat Rilis),https://carisinyal.com/hp/apple-ipad-10-2-2021/
iPad 10.2 inch 2021 (WiFi + Cellular) (3GB/256GB),APPLE,2021,7999000,3,256,Apple A13 Bionic,8 MP • Wide • f/2.4,8557,10,iPadOS 15 (Saat Rilis),https://carisinyal.com/hp/apple-ipad-10-2-2021/
iPhone 13 (4GB/128GB),APPLE,2021,8249000,4,128,Apple A15 Bionic,12 MP • Wide • f/1.6 ; 12 MP • Ultrawide • f/2.4,3240,20,iOS 15,https://carisinyal.com/hp/apple-iphone-13/
Honor X6c (6GB/256GB),HONOR,2026,2999000,6,256,MediaTek Helio G81 Ultra,50 MP • Wide • f/1.8,5300,35,"Android 15, MagicOS 9.0",https://carisinyal.com/hp/honor-x6c/
Honor X7d (8GB/512GB),HONOR,2025,4499000,8,512,Qualcomm Snapdragon 685,108 MP • Wide • f/1.75 ; 2 MP • Depth • f/2.4,6500,35,"Android 15, MagicOS 9",https://carisinyal.com/hp/honor-x7d/
Honor Pad X9a (8GB/128GB),HONOR,2025,4299000,8,128,Qualcomm Snapdragon 685,8 MP • Wide • f/2.0,8300,35,"Android 15, MagicOS 9",https://carisinyal.com/hp/honor-pad-x9a/
Honor Pad X7 (4GB/128GB),HONOR,2025,1499000,4,128,Qualcomm Snapdragon 680,8 MP • Wide • f/2.0,7020,10,"Android 15, MagicOS 9",https://carisinyal.com/hp/honor-pad-x7/
Honor Pad 10 (8GB/256GB),HONOR,2025,5699000,8,256,Qualcomm Snapdragon 7 Gen 3,8 MP • Wide • f/2.0,10100,35,"Android 15, MagicOS 9",https://carisinyal.com/hp/honor-pad-10/
Honor 400 Lite 5G (8GB/256GB),HONOR,2025,3999000,8,256,MediaTek Dimensity 7025,50 MP • Wide • f/1.8 ; 5 MP • Ultrawide • f/2.2,5230,35,"Android 15, MagicOS 9",https://carisinyal.com/hp/honor-400-lite/
Honor 400 (12GB/512GB),HONOR,2025,6299000,12,512,Qualcomm Snapdragon 7 Gen 3,200 MP • Wide • f/1.9 ; 12 MP • Ultrawide • f/2.2,6000,80,"Android 15, MagicOS 9.0",https://carisinyal.com/hp/honor-400/
Honor 200 Pro (12GB/512GB),HONOR,2024,8799000,12,512,Qualcomm Snapdragon 8s Gen 3,50 MP • Wide • f/1.9 ; 50 MP • Telephoto • f/2.4 ; 12 MP • Ultrawide • f/2.2,5200,100,"Android 14, MagicOS 8",https://carisinyal.com/hp/honor-200-pro/
Honor Pad 9 (8GB/256GB),HONOR,2023,4799000,8,256,Qualcomm Snapdragon 6 Gen 1,13 MP • Wide • f/2.0,8300,35,"Android 13, Magic UI 7.2",https://carisinyal.com/hp/honor-pad-9/
Honor Pad X8a (4GB/128GB),HONOR,2024,2299000,4,128,Qualcomm Snapdragon 680,5 MP • Wide • f/2.2,8300,10,"Android 14, MagicOS 8",https://carisinyal.com/hp/honor-pad-x8a/
Huawei Mate X7 (16GB/512GB),HUAWEI,2025,27799000,16,512,Kirin 9030 Pro,50 MP • Wide • f/1.49–f/4.0 ; 50 MP • Periscope Telephoto • f/2.2 ; 40 MP • Ultrawide • f/2.2,5600,66,EMUI 15.0,https://carisinyal.com/hp/huawei-mate-x7/
Huawei nova 14 Pro (12GB/512GB),HUAWEI,2025,8499000,12,512,Kirin 8020,50 MP • Wide • f/1.4-4.0 ; 12 MP • Telephoto • f/2.4 ; 8 MP • Ultrawide • f/2.2,5500,100,EMUI 15.0,https://carisinyal.com/hp/huawei-nova-14-pro/
Huawei MatePad 12X (2026) (12GB/256GB),HUAWEI,2025,9599000,12,256,Kirin T92B,50 MP • Wide • f/1.8,10100,66,HarmonyOS 4.3,https://carisinyal.com/hp/huawei-matepad-12-x-2025/
Huawei Pura 80 (12GB/256GB),HUAWEI,2025,9999000,12,256,Kirin 9010S,50 MP • Wide • f/1.4–f/4.0 ; 12 MP • Periscope Telephoto • f/3.4 ; 13 MP • Ultrawide • f/2.2,5170,66,EMUI 15.0,https://carisinyal.com/hp/huawei-pura-80/
Huawei Pura 80 Ultra (16GB/512GB),HUAWEI,2025,20799000,16,512,Kirin 9020,50 MP • Wide • f/1.4-f/4.0 ; 40 MP • Ultrawide • f/2.2 ; 50 MP • Periscope Telephoto • f/2.4 ; 12.5 MP • Periscope Telephoto • f/3.6,5170,100,EMUI 15,https://carisinyal.com/hp/huawei-pura-80-ultra/
Huawei Pura 80 Pro (12GB/512GB),HUAWEI,2025,13499000,12,512,Kirin 9020,50 MP • Wide • f/1.4-f/4.0 ; 40 MP • Ultrawide • f/2.2 ; 48 MP • Telephoto • f/2.1,5170,100,EMUI 15,https://carisinyal.com/hp/huawei-pura-80-pro/
Huawei MatePad 11.5 (2025) (8GB/256GB),HUAWEI,2025,5999000,8,256,Kirin T82B,13 MP • Wide • f/1.8,10100,40,Harmony OS 4.3,https://carisinyal.com/hp/huawei-matepad-11-5-2025/
Huawei MatePad Pro 12.2 (2025) (12GB/512GB),HUAWEI,2025,12999000,12,512,Kirin T9A,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f//2.2,10100,100,HarmonyOS 4.3,https://carisinyal.com/hp/huawei-matepad-pro-12-2-2025/
Huawei Mate X6 (12GB/512GB),HUAWEI,2024,24999000,12,512,Kirin 9020,50 MP • Wide • f/1.4-f/4.0 ; 40 MP • Ultrawide • f/2.2 ; 40 MP • Periscope Telephoto • f/3.0,5110,66,HarmonyOS 4.3,https://carisinyal.com/hp/huawei-mate-x6/
Huawei MatePad Pro 13.2 (2025) (12GB/512GB),HUAWEI,2025,13199000,12,512,Kirin T92,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f/2.2,10100,100,Harmony OS 4.3,https://carisinyal.com/hp/huawei-matepad-pro-13-2-2025/
Huawei MatePad SE 11 Kids Edition (4GB/128GB),HUAWEI,2024,3199000,4,128,Kirin 710A,8 MP • Wide • f/2.0,7700,5,HarmonyOS 2.0,https://carisinyal.com/hp/huawei-matepad-se-11-kids-edition/
Huawei MatePad SE 11 (2024) (4GB/128GB),HUAWEI,2024,2099000,4,128,Qualcomm Snapdragon 680,8 MP • Wide • f/2.0,7700,5,HarmonyOS 2.0,https://carisinyal.com/hp/huawei-matepad-se-11-2/
Huawei MatePad SE 11 (2024) (6GB/128GB),HUAWEI,2024,2599000,6,128,Qualcomm Snapdragon 680,8 MP • Wide • f/2.0,7700,5,HarmonyOS 2.0,https://carisinyal.com/hp/huawei-matepad-se-11-2/
Huawei MatePad 11.5 (8GB/128GB),HUAWEI,2023,4279000,8,128,Qualcomm Snapdragon 7 Gen 1,13 MP • Wide • f/1.8,7700,5,HarmonyOS 3.1,https://carisinyal.com/hp/huawei-matepad-11-5/
Infinix Smart 20 (4GB/64GB),INFINIX,2026,1399000,4,64,MediaTek Helio G81 Ultimate,8 MP • Wide • f/2.0,5200,15,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-smart-20/
Infinix Smart 20 (4GB/128GB),INFINIX,2026,1499000,4,128,MediaTek Helio G81 Ultimate,8 MP • Wide • f/2.0,5200,15,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-smart-20/
Infinix XPAD 30E (4GB/128GB),INFINIX,2026,2349000,4,128,MediaTek Helio G80,8 MP • Wide,7200,10,"Android 15, XOS",https://carisinyal.com/hp/infinix-xpad-30e/
Infinix Note 60 Pro (8GB/256GB),INFINIX,2026,5499000,8,256,Qualcomm Snapdragon 7s Gen 4,50 MP • Wide • f/1.59 ; 8 MP • Ultrawide • f/2.2,6500,90,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-note-60-pro-5g/
Infinix Note 60 Pro (12GB/256GB),INFINIX,2026,5999000,12,256,Qualcomm Snapdragon 7s Gen 4,50 MP • Wide • f/1.59 ; 8 MP • Ultrawide • f/2.2,6500,90,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-note-60-pro-5g/
Infinix Note 60 (8GB/256GB),INFINIX,2026,4099000,8,256,MediaTek Dimensity 7400 Ultimate,50 MP • Wide • f/1.59 ; 8 MP • Ultrawide • f/2.2,6500,45,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-note-60-5g/
Infinix XPAD Edge (8GB/256GB),INFINIX,2026,4599000,8,256,Qualcomm Snapdragon 685,8 MP • Wide • F/2.0,8000,18,Android 15,https://carisinyal.com/hp/infinix-xpad-edge/
Infinix Note Edge 5G (8GB/128GB),INFINIX,2026,3249000,8,128,MediaTek Dimensity 7100,50 MP • Wide • f/1.8,6500,45,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-note-edge-5g/
Infinix Note Edge 5G (8GB/256GB),INFINIX,2026,3449000,8,256,MediaTek Dimensity 7100,50 MP • Wide • f/1.8,6500,45,"Android 16, XOS 16",https://carisinyal.com/hp/infinix-note-edge-5g/
Infinix XPAD 20 Pro (8GB/128GB),INFINIX,2025,3199000,8,128,Mediatek Helio G100 Ultimate,8 MP • Wide • f/2.0,8000,18,Android 15,https://carisinyal.com/hp/infinix-xpad-20-pro/
Infinix XPAD 20 Pro (8GB/256GB),INFINIX,2025,3399000,8,256,Mediatek Helio G100 Ultimate,8 MP • Wide • f/2.0,8000,18,Android 15,https://carisinyal.com/hp/infinix-xpad-20-pro/
Infinix GT 30 (8GB/256GB),INFINIX,2025,3399000,8,256,MediaTek Dimensity 7400,64 MP • Wide • f/1.9 ; 8 MP • Ultrawide • f/2.2,5500,45,"Android 15, XOS 15",https://carisinyal.com/hp/infinix-gt-30/
Infinix Hot 60 Pro+ (8GB/128GB),INFINIX,2025,2699000,8,128,MediaTek Helio G200,50 MP • Wide • f/1.79 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60-pro-plus/
Infinix Hot 60 Pro+ (8GB/256GB),INFINIX,2025,2899000,8,256,MediaTek Helio G200,50 MP • Wide • f/1.79 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60-pro-plus/
Infinix Hot 60 Pro (8GB/128GB),INFINIX,2025,2099000,8,128,MediaTek Helio G200,50 MP • Wide • f/1.6 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60-pro/
Infinix Hot 60 Pro (8GB/256GB),INFINIX,2025,2549000,8,256,MediaTek Helio G200,50 MP • Wide • f/1.6 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60-pro/
Infinix Hot 60i (6GB/128GB),INFINIX,2025,1699000,6,128,MediaTek Helio G81 Ultimate,50 MP • Wide • f/1.79 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60i/
Infinix Hot 60i (8GB/256GB),INFINIX,2025,2099000,8,256,MediaTek Helio G81 Ultimate,50 MP • Wide • f/1.79 ; AI,5160,45,"Android 15, XOS 15.1",https://carisinyal.com/hp/infinix-hot-60i/
Infinix Smart 10 Plus (8GB/128GB),INFINIX,2025,1449000,8,128,UNISOC T7250,8 MP • Wide • f/2.0,6000,18,"Android 15 (edisi Go), XOS 15",https://carisinyal.com/hp/infinix-smart-10-plus/
Infinix Smart 10 (3GB/64GB),INFINIX,2025,1199000,3,64,UNISOC T7250,8 MP • Wide • f/2.0,5000,15,"Android 15 (edisi Go), XOS 15",https://carisinyal.com/hp/infinix-smart-10/
Infinix Smart 10 (4GB/64GB),INFINIX,2025,1299000,4,64,UNISOC T7250,8 MP • Wide • f/2.0,5000,15,"Android 15 (edisi Go), XOS 15",https://carisinyal.com/hp/infinix-smart-10/
Infinix Smart 10 (4GB/128GB),INFINIX,2025,1399000,4,128,UNISOC T7250,8 MP • Wide • f/2.0,5000,15,"Android 15 (edisi Go), XOS 15",https://carisinyal.com/hp/infinix-smart-10/
Infinix XPAD 20 (4GB/128GB),INFINIX,2025,2199000,4,128,MediaTek Helio G88,8 MP • Wide • f/2.0,7000,10,Android 15,https://carisinyal.com/hp/infinix-xpad-20/
Infinix XPAD 20 (8GB/256GB),INFINIX,2025,2699000,8,256,MediaTek Helio G88,8 MP • Wide • f/2.0,7000,10,Android 15,https://carisinyal.com/hp/infinix-xpad-20/
Infinix XPAD GT (8GB/256GB),INFINIX,2025,6099000,8,256,Qualcomm Snapdragon 888,13 MP • Wide • f/2.0,10000,33,"Android 14, XOS",https://carisinyal.com/hp/infinix-xpad-gt/
Infinix GT 30 Pro (8GB/256GB),INFINIX,2025,3799000,8,256,MediaTek Dimensity 8350,108 MP • Wide • f/1.89 ; 8 MP • Ultrawide • f/2.2,5500,45,"Android 15, XOS 15",https://carisinyal.com/hp/infinix-gt-30-pro/
Infinix GT 30 Pro (12GB/512GB),INFINIX,2025,4399000,12,512,MediaTek Dimensity 8350,108 MP • Wide • f/1.89 ; 8 MP • Ultrawide • f/2.2,5500,45,"Android 15, XOS 15",https://carisinyal.com/hp/infinix-gt-30-pro/
Infinix Note 50S 5G (8GB/256GB),INFINIX,2025,3049000,8,256,MediaTek Dimensity 7300 Ultimate,64 MP • Wide • f/1.75 ; 2 MP • Macro • f/2.4,5200,45,Android 15,https://carisinyal.com/hp/infinix-note-50s-5g/
Infinix Note 50X 5G (8GB/256GB),INFINIX,2025,2499000,8,256,MediaTek Dimensity 7300 Ultimate,50 MP • Wide • f/1.6,5200,45,"Android 15, XOS 15.0.1",https://carisinyal.com/hp/infinix-note-50x/
Infinix Note 50 Pro (8GB/256GB),INFINIX,2025,3049000,8,256,MediaTek Helio G100,50 MP • Wide • f/1.88 ; 8 MP • Ultrawide • f/2.2,5200,90,"Android 15, XOS 15.0.1",https://carisinyal.com/hp/infinix-note-50-pro/
Infinix Note 50 (8GB/256GB),INFINIX,2025,2699000,8,256,MediaTek Helio G100,50 MP • Wide • f/1.88 ; 2 MP • Macro • f/2.4,5200,45,"Android 15, XOS 15.0.1",https://carisinyal.com/hp/infinix-note-50/
Motorola Razr 60 (8GB/256GB),MOTOROLA,2025,10399000,8,256,MediaTek Dimensity 7400X,50 MP • Wide • f/1.7 ; 13 MP • Ultrawide • f/2.2,4500,30,Android 15,https://carisinyal.com/hp/motorola-razr-60/
Motorola Moto G57 Power (8GB/128GB),MOTOROLA,2025,2949000,8,128,Qualcomm Snapdragon 6s Gen 4,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f/2.2,7000,30,Android 16,https://carisinyal.com/hp/motorola-moto-g57-power/
Motorola Moto G57 Power (8GB/256GB),MOTOROLA,2025,3199000,8,256,Qualcomm Snapdragon 6s Gen 4,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f/2.2,7000,30,Android 16,https://carisinyal.com/hp/motorola-moto-g57-power/
Motorola Moto G67 Power 5G (8GB/256GB),MOTOROLA,2025,3399000,8,256,Qualcomm Snapdragon 7s Gen 2,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f/2.2,7000,30,Android 15,https://carisinyal.com/hp/motorola-moto-g67-power-5g/
Motorola Moto Pad 60 Neo (4GB/128GB),MOTOROLA,2025,2999000,4,128,Mediatek Dimensity 6300,8 MP • Wide,7040,20,Android 15,https://carisinyal.com/hp/motorola-moto-pad-60-neo/
Motorola Moto G06 Power (4GB/128GB),MOTOROLA,2025,1699000,4,128,MediaTek Helio G81 Extreme,50 MP • Wide • f/1.8,7000,18,"Android 15, Hello UI",https://carisinyal.com/hp/motorola-moto-g06-power/
Motorola Moto Pad 60 Pro (8GB/256GB),MOTOROLA,2025,6099000,8,256,Mediatek Dimensity 8300,13 MP • Wide,10200,45,Android 14,https://carisinyal.com/hp/motorola-moto-pad-60-pro/
Motorola Moto Pad 60 Lite (4GB/128GB),MOTOROLA,2025,1899000,4,128,MediaTek Helio G85,8 MP • Wide,5100,20,Android 15,https://carisinyal.com/hp/motorola-moto-pad-60-lite/
Motorola Moto G86 Power (8GB/256GB),MOTOROLA,2025,3899000,8,256,MediaTek Dimensity 7400,50 MP • Wide • f/1.9 ; 8 MP • Ultrawide • f/2.2,6270,33,Android 15,https://carisinyal.com/hp/motorola-moto-g86-power/
Motorola Edge 60 Pro (12GB/256GB),MOTOROLA,2025,6499000,12,256,MediaTek Dimensity 8350 Extreme,50 MP • Wide • f/1.8 ; 50 MP • Ultrawide • f/2.2 ; 10 MP • Telephoto • f/2.0,6000,90,Android 15,https://carisinyal.com/hp/motorola-edge-60-pro/
Motorola Edge 60 Fusion (12GB/256GB),MOTOROLA,2025,5699000,12,256,MediaTek Dimensity 7400,50 MP • Wide • f/1.9 ; 13 MP • Ultrawide • f/2.2,5500,68,Android 15,https://carisinyal.com/hp/motorola-edge-60-fusion/
OPPO A6s (8GB/128GB),OPPO,2026,4899000,8,128,Qualcomm Snapdragon 685,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6s/
OPPO A6s (8GB/256GB),OPPO,2026,5399000,8,256,Qualcomm Snapdragon 685,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6s/
OPPO Pad 5 Matte Display Edition (8GB/256GB),OPPO,2026,7999000,8,256,MediaTek Dimensity 7300 Ultra,8 MP • Wide • f/2.0,10050,33,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-pad-5-matte-display-edition/
OPPO A6t Pro 5G (8GB/256GB),OPPO,2026,4799000,8,256,MediaTek Dimensity 6300,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6t-pro-5g/
OPPO A6t Pro (8GB/128GB),OPPO,2026,3599000,8,128,Qualcomm Snapdragon 685,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,44,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6t-pro/
OPPO A6t (4GB/64GB),OPPO,2026,1799000,4,64,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,10,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6t/
OPPO A6t (4GB/128GB),OPPO,2026,2199000,4,128,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,10,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6t/
OPPO A6t (6GB/128GB),OPPO,2026,2999000,6,128,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,10,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6t/
OPPO Reno15 Pro Max 5G (12GB/512GB),OPPO,2026,13799000,12,512,MediaTek Dimensity 8450,200 MP • Wide • F/1.8 ; 50 MP • Ultrawide • F/2.0 ; 50 MP • Telephoto • F/2.8,6500,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-reno15-pro-max/
OPPO Reno15 F 5G (8GB/128GB),OPPO,2026,5799000,8,128,Qualcomm Snapdragon 6 Gen 1,50 MP • Ultrawide • f/1.8 ; 8 MP • Ultrawide • f/2.2 ; 2 MP • Macro • f/2.4,7000,80,ColorOS 16.0,https://carisinyal.com/hp/oppo-reno15-f-5g/
OPPO Reno15 F 5G (8GB/256GB),OPPO,2026,6299000,8,256,Qualcomm Snapdragon 6 Gen 1,50 MP • Ultrawide • f/1.8 ; 8 MP • Ultrawide • f/2.2 ; 2 MP • Macro • f/2.4,7000,80,ColorOS 16.0,https://carisinyal.com/hp/oppo-reno15-f-5g/
OPPO Reno15 F 5G (12GB/256GB),OPPO,2026,6799000,12,256,Qualcomm Snapdragon 6 Gen 1,50 MP • Ultrawide • f/1.8 ; 8 MP • Ultrawide • f/2.2 ; 2 MP • Macro • f/2.4,7000,80,ColorOS 16.0,https://carisinyal.com/hp/oppo-reno15-f-5g/
OPPO Reno15 5G (8GB/256GB),OPPO,2026,8099000,8,256,Qualcomm Snapdragon 7 Gen 4,50 MP • Wide • f/1.8 ; 50 MP • Telephoto • f/2.8 ; 8 MP • Ultrawide • f/2.2,6500,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-reno15/
OPPO Reno15 5G (12GB/256GB),OPPO,2026,8799000,12,256,Qualcomm Snapdragon 7 Gen 4,50 MP • Wide • f/1.8 ; 50 MP • Telephoto • f/2.8 ; 8 MP • Ultrawide • f/2.2,6500,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-reno15/
OPPO A6 (6GB/128GB),OPPO,2025,3699000,6,128,Qualcomm Snapdragon 685,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,45,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6/
OPPO A6 (6GB/256GB),OPPO,2025,3999000,6,256,Qualcomm Snapdragon 685,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,45,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6/
OPPO A6x (4GB/64GB),OPPO,2025,1999000,4,64,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,15,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6x/
OPPO A6x (4GB/128GB),OPPO,2025,2699000,4,128,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,15,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6x/
OPPO A6x (6GB/128GB),OPPO,2025,3299000,6,128,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,15,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6x/
OPPO A6x (6GB/256GB),OPPO,2025,3599000,6,256,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,15,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6x/
OPPO A6x (8GB/128GB),OPPO,2025,3599000,8,128,Qualcomm Snapdragon 685,13 MP • Wide • f/2.2 ; 0.08 MP • Monochrome • f/3.0,6500,15,"Android 15, ColorOS 15.0",https://carisinyal.com/hp/oppo-a6x/
OPPO Find X9 Pro (16GB/512GB),OPPO,2025,19999000,16,512,Mediatek Dimensity 9500,50 MP • Wide • f/1.5 ; 200 MP • Periscope Telephoto • f/2.1 ; 50 MP • Ultrawide • f/2.0 ; 2 MP • Monochrome • f/2.4,7500,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-find-x9-pro/
OPPO Find X9 (12GB/256GB),OPPO,2025,13999000,12,256,Mediatek Dimensity 9500,50 MP • Wide • f/1.6 ; 50 MP • Periscope Telephoto • f/2.6 ; 50 MP • Ultrawide • f/2.0 ; 2 MP • Monochrome • f/2.4,7025,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-find-x9/
OPPO Find X9 (16GB/512GB),OPPO,2025,16999000,16,512,Mediatek Dimensity 9500,50 MP • Wide • f/1.6 ; 50 MP • Periscope Telephoto • f/2.6 ; 50 MP • Ultrawide • f/2.0 ; 2 MP • Monochrome • f/2.4,7025,80,"Android 16, ColorOS 16",https://carisinyal.com/hp/oppo-find-x9/
OPPO A6 Pro (8GB/128GB),OPPO,2025,4099000,8,128,Mediatek Helio G100,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6-pro-2/
OPPO A6 Pro (8GB/256GB),OPPO,2025,4499000,8,256,Mediatek Helio G100,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6-pro-2/
OPPO A6 Pro 5G (8GB/256GB),OPPO,2025,4799000,8,256,MediaTek Dimensity 6300,50 MP • Wide • f/1.8 ; 2 MP • Monochrome • f/2.4,7000,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-a6-pro-5g/
OPPO Pad SE (4GB/128GB),OPPO,2025,2499000,4,128,MediaTek Helio G100,5 MP • Wide • f/2.2,9340,33,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-pad-se/
OPPO Reno14 Pro 5G (12GB/512GB),OPPO,2025,10999000,12,512,MediaTek Dimensity 8450,50 MP • Wide • f/1.8 ; 50 MP • Ultrawide • f/2.0 ; 50 MP • Periscope Telephoto • f/2.8,6200,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-reno14-pro/
OPPO Reno14 5G (8GB/256GB),OPPO,2025,7499000,8,256,MediaTek Dimensity 8350,50 MP • Wide • f/1.8 ; 8 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/2.8,6000,80,"Android 15, ColorOS 15",https://carisinyal.com/hp/oppo-reno14/
