Nama,Brand,Rilis,Harga_Varian,RAM,Memori_Internal,Chipset,Kamera_Utama,Baterai,Charger,OS,URL
Xiaomi Pad 8 (8GB/256GB),XIAOMI,2026,7499000,8,256,Qualcomm Snapdragon 8s Gen 4,13 MP • Wide • f/2.2,9200,45,"Android 16, HyperOS 3",https://carisinyal.com/hp/xiaomi-pad-8/
Xiaomi Pad 8 Pro (8GB/256GB),XIAOMI,2026,9499000,8,256,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.8,9200,67,"Android 16, HyperOS 3",https://carisinyal.com/hp/xiaomi-pad-8-pro/
Xiaomi Pad 8 Pro (12GB/512GB),XIAOMI,2026,11499000,12,512,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.8,9200,67,"Android 16, HyperOS 3",https://carisinyal.com/hp/xiaomi-pad-8-pro/
Xiaomi 15T Pro (12GB/512GB),XIAOMI,2025,10499000,12,512,Mediatek Dimensity 9400+,50 MP • Wide • f/1.62 ; 50 MP • Periscope Telephoto • f/3.0 ; 12 MP • Ultrawide • f/2.2,5500,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15t-pro/
Xiaomi 15T Pro (12GB/1024GB),XIAOMI,2025,11499000,12,1024,Mediatek Dimensity 9400+,50 MP • Wide • f/1.62 ; 50 MP • Periscope Telephoto • f/3.0 ; 12 MP • Ultrawide • f/2.2,5500,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15t-pro/
Xiaomi 15T (12GB/256GB),XIAOMI,2025,6999000,12,256,Mediatek Dimensity 8400 Ultra,50 MP • Wide • f/1.7 ; 50 MP • Telephoto • f/1.9 ; 12 MP • Ultrawide • f/2.2,5500,67,"Android 15, HyperOS 3",https://carisinyal.com/hp/xiaomi-15t/
Xiaomi 15T (12GB/512GB),XIAOMI,2025,7999000,12,512,Mediatek Dimensity 8400 Ultra,50 MP • Wide • f/1.7 ; 50 MP • Telephoto • f/1.9 ; 12 MP • Ultrawide • f/2.2,5500,67,"Android 15, HyperOS 3",https://carisinyal.com/hp/xiaomi-15t/
Xiaomi 15 Ultra (16GB/512GB),XIAOMI,2025,16999000,16,512,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.6 ; 50 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/1.8 ; 200 MP • Periscope Telephoto • f/2.6,5410,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15-ultra/
Xiaomi 15 Ultra (16GB/1024GB),XIAOMI,2025,19999000,16,1024,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.6 ; 50 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/1.8 ; 200 MP • Periscope Telephoto • f/2.6,5410,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15-ultra/
Xiaomi 15 (12GB/256GB),XIAOMI,2024,11999000,12,256,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.6 ; 50 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/2.0,5240,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15/
Xiaomi 15 (12GB/512GB),XIAOMI,2024,12999000,12,512,Qualcomm Snapdragon 8 Elite,50 MP • Wide • f/1.6 ; 50 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/2.0,5240,90,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-15/
Xiaomi Pad 7 Pro (12GB/512GB),XIAOMI,2024,7499000,12,512,Qualcomm Snapdragon 8s Gen 3,50 MP • Wide • f/2.2 ; 2 MP • Depth • f/2.4,8850,67,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-pad-7-pro/
Xiaomi Pad 7 (8GB/256GB),XIAOMI,2024,5499000,8,256,Qualcomm Snapdragon 7+ Gen 3,13 MP • Wide • f/2.2,8850,45,"Android 15, HyperOS 2",https://carisinyal.com/hp/xiaomi-pad-7/
Xiaomi 14 (12GB/256GB),XIAOMI,2024,11999000,12,256,Qualcomm Snapdragon 8 Gen 3,50 MP • Wide • f/1.6 ; 50 MP • Ultrawide • f/2.2 ; 50 MP • Telephoto • f/2.0,4610,90,"Android 14, HyperOS",https://carisinyal.com/hp/xiaomi-14/
nubia A76 5G (8GB/128GB),ZTE,2025,2099000,8,128,UNISOC T8300,50 MP • Wide • f/1.8 ; AI,5000,5,"Android 15, MyOS 15",https://carisinyal.com/hp/zte-blade-a76/
