Harga_Angka,RAM,Memori_Internal,Layar_Ukuran,Refresh,Baterai,Charger,Kamera_MP,Umur_HP,Chipset_Skor,Brand_ADVAN,Brand_APPLE,Brand_ASUS,Brand_HONOR,Brand_HUAWEI,Brand_INFINIX,Brand_MOTOROLA,Brand_OPPO,Brand_REALME,Brand_SAMSUNG,Brand_TECNO,Brand_VIVO,Brand_XIAOMI,Brand_ZTE
0.04600484261501211,0.23809523809523808,0.0967741935483871,0.06705882352941184,0.48,0.21052631578947367,0.24347826086956523,0.23076923076923075,0.2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016949152542372878,0.23809523809523808,0.03225806451612903,0.08000000000000007,0.48,0.21052631578947367,0.11304347826086958,0.30256410256410254,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024213075060532663,0.047619047619047616,0.0,0.47058823529411775,0.0,0.21052631578947367,0.043478260869565216,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016949152542372878,0.047619047619047616,0.03225806451612903,0.47058823529411775,0.0,0.354066985645933,0.043478260869565216,0.015384615384615385,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.029055690072639223,0.14285714285714285,0.03225806451612903,0.47058823529411775,0.0,0.3301435406698564,0.043478260869565216,0.015384615384615385,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03389830508474576,0.23809523809523808,0.03225806451612903,0.47058823529411775,0.0,0.3301435406698564,0.043478260869565216,0.015384615384615385,0.6000000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5036319612590799,1.0,0.4838709677419355,0.08000000000000007,1.0,0.30622009569377995,0.5217391304347826,0.23076923076923075,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26150121065375304,0.6190476190476191,0.22580645161290322,0.08000000000000007,1.0,0.30622009569377995,0.5217391304347826,0.23076923076923075,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14043583535108958,0.42857142857142855,0.0967741935483871,0.08000000000000007,1.0,0.2703349282296651,0.5217391304347826,0.23076923076923075,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16464891041162227,0.42857142857142855,0.22580645161290322,0.08000000000000007,1.0,0.2703349282296651,0.5217391304347826,0.23076923076923075,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
